scenario,seed,head,qwk,acc_pct,mae,rmse,macro_p,macro_r,macro_f1,wtd_p,wtd_r,wtd_f1,params_total,params_m,model_size_mb,infer_ms_per_img,throughput_img_s,peak_mem_mb,p_no_dr,r_no_dr,f1_no_dr,p_mild,r_mild,f1_mild,p_moderate,r_moderate,f1_moderate,p_severe,r_severe,f1_severe,p_proliferative_dr,r_proliferative_dr,f1_proliferative_dr
single_ce,33,CE,0.8744,81.1989,0.248,0.6242,0.6862,0.6631,0.6633,0.8252,0.812,0.8135,1522981,1.523,5.9385,7.2659,137.6299,nan,1.0,0.9779,0.9888,0.5192,0.7297,0.6067,0.7129,0.72,0.7164,0.4211,0.4211,0.4211,0.7778,0.4667,0.5833
single_ce,81,CE,0.8612,79.564,0.267,0.652,0.6468,0.6231,0.6136,0.8085,0.7956,0.7936,1522981,1.523,5.9385,7.1946,138.9933,nan,0.9888,0.9779,0.9833,0.587,0.7297,0.6506,0.7059,0.72,0.7129,0.2857,0.4211,0.3404,0.6667,0.2667,0.381
single_ce,5,CE,0.8838,80.109,0.2507,0.6087,0.6575,0.6436,0.6398,0.8169,0.8011,0.8049,1522981,1.523,5.9383,7.5874,131.7981,nan,0.9944,0.9779,0.9861,0.5682,0.6757,0.6173,0.7172,0.71,0.7136,0.2857,0.4211,0.3404,0.7222,0.4333,0.5417
single_coral,33,CORAL,0.8555,77.9292,0.2861,0.6582,0.6652,0.6337,0.6123,0.801,0.7793,0.7753,1518884,1.5189,5.9249,7.1872,139.1366,nan,0.9833,0.9779,0.9806,0.4808,0.6757,0.5618,0.6701,0.65,0.6599,0.4138,0.6316,0.5,0.7778,0.2333,0.359
single_coral,81,CORAL,0.8902,77.3842,0.2698,0.602,0.6714,0.6493,0.6232,0.8164,0.7738,0.7828,1518884,1.5189,5.9249,7.2234,138.4398,nan,0.9944,0.9724,0.9832,0.625,0.5405,0.5797,0.6774,0.63,0.6528,0.2745,0.7368,0.4,0.7857,0.3667,0.5
single_coral,5,CORAL,0.8654,79.0191,0.267,0.635,0.643,0.6098,0.5973,0.8026,0.7902,0.7846,1518884,1.5189,5.9247,7.3579,135.909,nan,0.9944,0.9779,0.9861,0.4889,0.5946,0.5366,0.6944,0.75,0.7212,0.3704,0.5263,0.4348,0.6667,0.2,0.3077
teacher_resnet50_ce,shared,CE,0.8171,74.6594,0.346,0.7546,0.586,0.6131,0.5701,0.7804,0.7466,0.7495,23518277,23.5183,90.0237,69.2754,14.4351,nan,1.0,0.9779,0.9888,0.3939,0.7027,0.5049,0.6933,0.52,0.5943,0.3429,0.6316,0.4444,0.5,0.2333,0.3182
teacher_resnet50_coral,shared,CORAL,0.8879,77.3842,0.2643,0.5883,0.6752,0.6259,0.5939,0.8208,0.7738,0.7761,23510084,23.5101,89.9922,71.8509,13.9177,nan,1.0,0.9724,0.986,0.5682,0.6757,0.6173,0.6842,0.65,0.6667,0.2667,0.6316,0.375,0.8571,0.2,0.3243
